职位名称,公司名,地点,薪资
Python开发工程师,浙江九州云信息科技有限公司,无锡,1.5-3万/月
Python开发工程师,上海彩虹鱼海洋科技股份有限公司,上海-徐汇区,0.6-2万/月
Python开发工程师,昆山能脉信息科技有限公司,异地招聘,1-1.5万/月
python研发工程师（外派银行）,上海祁铭信息技术有限公司,上海-浦东新区,0.8-1万/月
Python开发工程师,杭州飞享数据技术有限公司,杭州,1.5-2万/月
Python开发工程师,深圳道乐科技有限公司,广州,0.8-1万/月
Python语言老师,江西软件职业技术大学,南昌,0.8-1万/月
大数据开发工程师（python方向）,武汉中海庭数据技术有限公司,武汉-洪山区,1-1.5万/月
Python高级开发工程师,上海轩田工业设备有限公司,西安-高新技术...,1-1.5万/月
Python开发工程师,上海欧锐信息咨询有限公司,上海-杨浦区,0.8-1.2万/月
课程设计（python）,深圳点猫科技有限公司,深圳-南山区,0.9-1.4万/月
Python后端开发工程师,迪原创新（北京）科技有限公司,上海-杨浦区,1-1.5万/月
python开发工程师,武汉尚软科技有限公司,武汉-洪山区,1-5万/月
Python开发工程师,上海森松制药设备工程有限公司,上海,15-20万/年
python开发,上海坤雷实业有限公司,上海-徐汇区,6-8千/月
Python开发工程师,上海锐赢信息技术有限公司,上海-浦东新区,1.5-2万/月
python后端开发工程师,北京创新在线网络技术有限公司,深圳-福田区,0.9-1.8万/月
Python高级开发工程师,杭州羽联信息科技有限公司,杭州-拱墅区,1.6-2.5万/月
资深Python开发工程师,上海乐言信息科技有限公司,上海-长宁区,2-3.5万/月
python开发工程师,澳鹏科技（无锡）有限公司,无锡-无锡新区,4.5-6千/月
急聘c/c++/python/java初级开发工程师,大连天宇商务信息咨询有限公司,大连-沙河口区,6-8千/月
python开发工程师（后端）,金恪投资控股股份有限公司,上海-浦东新区,1.2-2万/月
Python高级开发工程师,格科微电子（上海）有限公司,异地招聘,1.5-3.5万/月
Python开发工程师,深圳市德科信息技术有限公司,广州-天河区,0.8-1.2万/月
Python工程师,珠海市精实测控技术有限公司,珠海-斗门区,0.8-1.2万/月
python初级开发工程师,合肥曼宁信息技术有限公司,合肥,3-4.5千/月
Python开发工程师,广州中长康达信息技术有限公司,广州,0.8-1.1万/月
Python程序员（性能保证）,成都育碧电脑软件有限公司,成都-高新区,
测试开发工程师-Python（2020届）(J10832),华勤通讯技术有限公司,西安-高新技术...,0.8-1万/月
Python开发工程师,广东尚源信息技术有限公司,佛山,3.5-7千/月
Python开发工程师,星云海数字科技股份有限公司,武汉,0.8-1.2万/月
Python软件工程师,浙江房超信息科技有限公司,嘉兴,5-8千/月
高级python开发工程师 双休 15K+,成都海德在线教育科技有限公司,成都-锦江区,1.5-2万/月
Python开发工程师,上海治熵信息科技有限公司,上海,1-1.5万/月
Python开发工程师,深圳房讯通信息技术有限公司,深圳-南山区,1.5-2万/月
Python开发工程师,南京宝正见企业管理有限公司,南京,0.8-1.5万/月
Python爬虫工程师,杭州筑龙信息技术股份有限公司,杭州-滨江区,1-1.5万/月
Python工程师,深圳市安络科技有限公司,深圳,1.5-3万/月
Python爬虫开发工程师,深圳市中诚金服信息科技管理有限公...,深圳-福田区,1-1.5万/月
Python爬虫工程师,福韵数据服务有限公司,长沙-雨花区,0.8-1万/月
Python高级开发经理,上海灏程信息科技有限公司,上海-闵行区,2.5-4万/月
Python开发工程师,联想中望系统服务有限公司（现越亮...,苏州-高新区,0.8-1.3万/月
Python 后端开发工程师,广州麦仑信息科技有限公司,广州-天河区,1-2万/月
Python高级开发工程师（爬虫）,深圳市菲凡数据科技有限公司,深圳-福田区,2-3万/月
Python爬虫工程师,集商网络科技（上海）有限公司,上海,1-1.5万/月
C++/Python开发工程师,成都中亚通茂科技股份有限公司,成都,1.2-1.6万/月
Python开发工程师,四川中飞赛维航空科技有限公司,成都-高新区,0.8-1.2万/月
