职位名称,公司名,地点,薪资
Python数据工程师,广东南芯医疗科技有限公司,广州-黄埔区,1-1.5万/月
python爬虫/数据开发,南京市秦淮区巩向明软件开发工作室...,南京-雨花台区,4.5-6千/月
web/PHP/Java/Python工程师,盛科网络（苏州）有限公司,苏州-工业园区,0.8-1.5万/月
Python开发工程师,深圳市光逸科技创新有限公司,深圳-福田区,1.5-2万/月
Python开发工程师,苏州城方信息技术有限公司,苏州-工业园区,0.7-1.2万/月
Python开发工程师,苏州新亚科技有限公司,异地招聘,6-8千/月
Python开发工程师,上海瀚茗斯网络科技有限公司,深圳-宝安区,1-1.5万/月
python开发工程师（双休+奖金）,成都加糖科技有限公司,成都-武侯区,4.5-8千/月
Python后台开发工程师,重庆科斯迈生物科技有限公司,重庆-渝北区,0.8-1万/月
高级python工程师,广东博士科技有限公司,广州-黄埔区,1.3-2万/月
大数据开发工程师（python）,上海贝耳塔信息技术有限公司,上海,3-3.5万/月
python方向助理工程师,陕西企长网络科技有限公司,深圳-龙华新区,3-4.5千/月
六险急招python软件工程师,北京正橹航空服务有限公司,长沙-天心区,0.7-1万/月
python---外派绿盟科技（驻场）,西安鼎拓信息科技有限公司,西安-雁塔区,0.5-1万/月
Python开发工程师,西安智园软件开发管理有限公司,西安,1-1.5万/月
初级Python工程师助理(提供住宿),大连凤凰树网络科技有限公司,大连-高新园区,3-4.5千/月
Python开发工程师（网络金融）,交银企业管理服务（上海）有限公司...,上海-徐汇区,1.5-2万/月
Python开发工程师,杭州网新颐和科技有限公司,上海-徐汇区,1.1-1.6万/月
Python开发工程师,博流智能科技（南京）有限公司,南京,15-30万/年
Python开发工程师,上海兆豪信息技术有限公司,杭州-江干区,0.8-1.5万/月
python开发（可实习),大连星宇科技有限公司,大连,4.5-6千/月
Python工程师,360金融,上海,2-3.5万/月
Python开发工程师,上海伦伟实业有限公司,上海,1.2-1.5万/月
Python开发工程师,赞同科技股份有限公司,南京,6-8千/月
python算法开发,上海慧度至明信息科技有限公司,上海-浦东新区,1.5-2万/月
Python开发工程师,杭州世介农业科技有限公司,杭州,1-1.5万/月
Python开发工程师,江西裕滔实业集团有限公司,南昌-青云谱区,4.5-6千/月
Python高级开发工程师,武汉云外恒信息技术有限公司,武汉-洪山区,1.5-2万/月
Python后端开发工程师,湖南云之翼软件有限公司,长沙,1-1.8万/月
